hdi_rank;country;gii_value;gii_rank;mmr;abr;ssp;ssp_note;edu_female;edu_female_note;edu_male;edu_male_note;edu_diff;labour_female;labour_male;labour_diff;human-development
1;Norway;0,068;9;7;7,8;39,6;;97,4;;96,7;;0,61;61,5;69,5;-8;veryhigh
2;Australia;0,113;19;7;12,1;29,2;;94,3;c;94,6;c;-0,3442;58,8;71,9;-13,1;veryhigh
3;Switzerland;0,03;2;8;1,9;27,2;;95;;96,6;;-1,56533;61,2;75,3;-14,1;veryhigh
4;Netherlands;0,057;7;6;6,2;37,8;;87,7;;90,5;;-2,78449;79,9;87,3;-7,4;veryhigh
5;United States of America;0,262;47;21;31;18,2;;95,1;;94,8;;0,33051;56,8;69,3;-12,5;veryhigh
6;Germany;0,046;3;7;3,8;32,4;;96,3;;97;;-0,74302;53,5;66,4;-12,9;veryhigh
7;New Zealand;0,185;34;15;25,3;32,2;;95;;95,3;;-0,36058;62,1;73,9;-11,8;veryhigh
8;Canada;0,136;23;12;14,5;28;;100;;100;;1,00E-05;61,6;71,2;-9,6;veryhigh
9;Singapore;0,09;15;3;6;24,2;;74,1;;81;;-6,90612;59;77,5;-18,5;veryhigh
10;Denmark;0,056;5;12;5,1;39,1;;95,5;d;96,6;d;-1,0148;59,1;67,5;-8,4;veryhigh
11;Ireland;0,115;20;6;8,2;19,5;;80,5;;78,6;;1,95815;52,7;67,9;-15,2;veryhigh
12;Sweden;0,054;4;4;6,5;44,7;;86,5;;87,3;;-0,7218;60,2;68,1;-7,9;veryhigh
13;Iceland;0,088;14;5;11,5;39,7;;91;;91,6;;-0,58021342;70,6;77,3;-6,7;veryhigh
14;United Kingdom;0,193;35;12;25,8;22,6;;99,8;;99,9;;-0,07791;55,7;68,8;-13,1;veryhigh
15;Hong Kong, China (SAR);-1;-1;-1;3,3;-1;;72,2;;79,2;;-6,96091;51,6;68;-16,4;veryhigh
